ip.src,ip.dst,ip.len,ip.flags.df,ip.flags.mf,ip.fragment,ip.fragment.count,ip.fragments,ip.ttl,ip.proto,tcp.window_size,tcp.ack,tcp.seq,tcp.len,tcp.stream,tcp.urgent_pointer,tcp.flags,tcp.analysis.ack_rtt,tcp.segments,tcp.reassembled.length,http.request,udp.port,frame.time_relative,frame.time_delta,tcp.time_relative,tcp.time_delta
"10.0.2.2","10.0.2.15","40","True","False",,,,"64","6","0","1","1","0","39","0","0x0014","0.025377000",,,,,"25.535801000","0.000976000","0.025377000","0.025377000"
"10.0.2.15","10.0.2.2","60","True","False",,,,"64","6","64240","0","0","0","52","0","0x0002",,,,,,"25.536776000","0.000975000","0.000000000","0.000000000"
"10.0.2.15","10.0.2.2","60","True","False",,,,"64","6","64240","0","0","0","53","0","0x0002",,,,,,"25.537753000","0.000977000","0.000000000","0.000000000"
"10.0.2.2","10.0.2.15","40","True","False",,,,"64","6","0","1","1","0","40","0","0x0014","0.023424000",,,,,"25.537753000","0.000000000","0.023424000","0.023424000"
"10.0.2.15","10.0.2.2","60","True","False",,,,"64","6","64240","0","0","0","54","0","0x0002",,,,,,"25.538728000","0.000975000","0.000000000","0.000000000"
"10.0.2.2","10.0.2.15","40","True","False",,,,"64","6","0","1","1","0","41","0","0x0014","0.023423000",,,,,"25.538728000","0.000000000","0.023423000","0.023423000"
"10.0.2.15","10.0.2.2","60","True","False",,,,"64","6","64240","0","0","0","55","0","0x0002",,,,,,"25.539704000","0.000976000","0.000000000","0.000000000"
"10.0.2.2","10.0.2.15","40","True","False",,,,"64","6","0","1","1","0","42","0","0x0014","0.024399000",,,,,"25.540680000","0.000976000","0.024399000","0.024399000"
"10.0.2.15","10.0.2.2","60","True","False",,,,"64","6","64240","0","0","0","56","0","0x0002",,,,,,"25.541656000","0.000976000","0.000000000","0.000000000"
"10.0.2.2","10.0.2.15","40","True","False",,,,"64","6","0","1","1","0","43","0","0x0014","0.025378000",,,,,"25.542635000","0.000979000","0.025378000","0.025378000"
"10.0.2.15","10.0.2.2","60","True","False",,,,"64","6","64240","0","0","0","57","0","0x0002",,,,,,"25.543608000","0.000973000","0.000000000","0.000000000"
"10.0.2.15","10.0.2.2","60","True","False",,,,"64","6","64240","0","0","0","58","0","0x0002",,,,,,"25.544584000","0.000976000","0.000000000","0.000000000"
"10.0.2.2","10.0.2.15","40","True","False",,,,"64","6","0","1","1","0","44","0","0x0014","0.024398000",,,,,"25.544584000","0.000000000","0.024398000","0.024398000"
"10.0.2.15","10.0.2.2","60","True","False",,,,"64","6","64240","0","0","0","59","0","0x0002",,,,,,"25.545561000","0.000977000","0.000000000","0.000000000"
"10.0.2.2","10.0.2.15","40","True","False",,,,"64","6","0","1","1","0","45","0","0x0014","0.024400000",,,,,"25.546536000","0.000975000","0.024400000","0.024400000"
"10.0.2.15","10.0.2.2","60","True","False",,,,"64","6","64240","0","0","0","60","0","0x0002",,,,,,"25.548489000","0.001953000","0.000000000","0.000000000"
"10.0.2.2","10.0.2.15","40","True","False",,,,"64","6","0","1","1","0","46","0","0x0014","0.025342000",,,,,"25.548489000","0.000000000","0.025342000","0.025342000"
"10.0.2.15","10.0.2.2","60","True","False",,,,"64","6","64240","0","0","0","61","0","0x0002",,,,,,"25.549464000","0.000975000","0.000000000","0.000000000"
"10.0.2.2","10.0.2.15","40","True","False",,,,"64","6","0","1","1","0","47","0","0x0014","0.026352000",,,,,"25.550440000","0.000976000","0.026352000","0.026352000"
"10.0.2.15","10.0.2.2","52","True","False",,,,"64","6","64256","1","1","0","27","0","0x0010","0.050749000",,,,,"25.551417000","0.000977000","0.070273000","0.050749000"
"10.0.2.15","10.0.2.2","52","True","False",,,,"64","6","64256","1","1","0","27","0","0x0014",,,,,,"25.552393000","0.000976000","0.071249000","0.000976000"
"10.0.2.15","10.0.2.2","60","True","False",,,,"64","6","64240","0","0","0","62","0","0x0002",,,,,,"25.552393000","0.000000000","0.000000000","0.000000000"
"10.0.2.2","10.0.2.15","40","True","False",,,,"64","6","0","1","1","0","48","0","0x0014","0.025376000",,,,,"25.553368000","0.000975000","0.025376000","0.025376000"
